//SQLite data types: https://www.sqlite.org/datatype3.html,,,,,,,,,,,,,,,,,,,,,,,
//wget -O azq_global_element_info_list.csv https://docs.google.com/spreadsheets/d/1ddl-g_qyoMYLF8PMkjrYPrpXusdinTZxsWLQOzJ6xu8/export?format=csv,,,,,,,,,,,,,,,,,,,,,,,
id,var_name,csharp_oldname,db_table,var_type,db_type,val_min,val_max,n_arg_max,name,expiry (millis),definition,category,omit_param_check,,,,,,,,,,
342,orientation_z,,position,Double,double,,,1,Roll (angle around the y-axis),,,Sensor,,,,,,,,,,,
343,proximity,,position,Double,double,,,1,Distance from object,,,Sensor,,,,,,,,,,,
1001,positioning_lat,,location,Double,double,0,0,1,Latitude,,,Location,,,,,,,,,,,
1002,positioning_lon,,location,Double,double,0,0,1,Longitude,,,Location,,,,,,,,,,,
1003,positioning_accuracy,,location,Double,double,0,0,1,Accuracy,,,Location,,,,,,,,,,,
1004,positioning_fixquality,,location,Integer,smallint,0,0,1,Fix	Quality,,,Location,,,,,,,,,,,
1005,positioning_altitude,,location,Double,double,0,0,1,Altitude,,,Location,,,,,,,,,,,
1006,position_utctime,,location,DateTime,,0,0,1,GPS	Time,,,Location,,,,,,,,,,,
1007,positioning_satellitescount,,location,Integer,smallint,0,0,1,Satelites	Count,,,Location,,,,,,,,,,,
1008,positioning_speed,,location,Double,double,0,0,1,Speed,,,Location,,,,,,,,,,,
1009,positioning_source,,location,Integer,smallint,0,0,1,Location source,,,Location,,,,,,,,,,,
1011,device_location_lat,,device_location,Double,double,0,0,1,Device Location Latitude,,,Location,,,,,,,,,,,
1012,device_location_lon,,device_location,Double,double,0,0,1,Device Location Longitude,,,Location,,,,,,,,,,,
1013,device_location_altitude,,device_location,Double,double,0,0,1,Device Location Altitude,,,Location,,,,,,,,,,,
1014,device_location_satellites_count,,device_location,Integer,smallint,0,0,1,Device Location Satelites Count,,,Location,,,,,,,,,,,
1021,mock_location_lat,,mock_location,Double,double,0,0,1,Mock Location Latitude,,,Location,,,,,,,,,,,
1022,mock_location_lon,,mock_location,Double,double,0,0,1,Mock Location Longitude,,,Location,,,,,,,,,,,
1023,mock_location_altitude,,mock_location,Double,double,0,0,1,Mock Location Altitude,,,Location,,,,,,,,,,,
1031,indoor_location_x,,indoor_location,Double,double,0,0,1,Indoor Location X,,,Location,,,,,,,,,,,
1032,indoor_location_y,,indoor_location,Double,double,0,0,1,Indoor Location Y,,,Location,,,,,,,,,,,
1033,indoor_location_lat,,indoor_location,Double,double,0,0,1,Indoor Location Latitude,,,Location,,,,,,,,,,,
1034,indoor_location_lon,,indoor_location,Double,double,0,0,1,Indoor Location Longitude,,,Location,,,,,,,,,,,
1035,indoor_location_point_name,,indoor_location,String,varchar(5),0,0,1,Indoor Location Point Name,,,Location,,,,,,,,,,,
1041,commander_location_x,,commander_location,Double,double,0,0,1,Commander Location X,,,Location,,,,,,,,,,,
1042,commander_location_y,,commander_location,Double,double,0,0,1,Commander Location Y,,,Location,,,,,,,,,,,
